,DATE,SPF_UNEMPF0,SPF_UNEMPF4,SPF_gRPCEF0,SPF_gRPCEF1,SPF_gRPCEF2,SPF_gRPCEF3
0,1982,8.9848,8.5586,1.6323,2.2189,3.8815,3.6728
1,1982,9.3905,8.9381,0.1464,3.3937,3.2165,3.3628
2,1982,9.769,9.0976,3.5141,3.5468,2.6633,2.6178
3,1982,10.4105,9.65,2.4886,2.6198,2.8883,3.2865
4,1983,10.5892,9.8594,2.4253,2.9066,3.5972,3.8421
5,1983,10.1641,9.3158,3.8633,4.3139,3.9194,3.7224
6,1983,9.5156,8.7094,5.0091,4.9958,3.7221,3.6424
7,1983,8.9167,8.1722,5.3056,3.6743,3.2217,3.2588
8,1984,8.0548,7.531,4.9185,3.81,3.1313,3.3192
9,1984,7.6971,7.2886,4.1213,3.6184,3.2871,2.6159
10,1984,7.2,6.9115,4.6507,4.1762,2.423,3.2349
11,1984,7.3806,7.1968,4.3077,3.5926,3.4189,3.0315
12,1985,7.1958,6.881,5.0693,4.0656,3.5973,3.6005
13,1985,7.2414,7.0893,3.6481,3.1638,3.1081,2.7537
14,1985,7.271,7.26,2.5019,2.6088,2.8355,2.468
15,1985,7.08,7.088,0.4309,2.6584,2.2604,2.3377
16,1986,6.8423,6.712,4.6503,2.8243,2.6265,2.5291
17,1986,7.025,6.7654,2.7678,3.335,2.4634,2.6095
18,1986,7.0417,6.8375,2.6851,2.1379,3.1058,2.1433
19,1986,6.9375,6.8167,-0.3348,2.0982,2.4267,2.7763
20,1987,6.8045,6.665,1.646,1.1864,1.1625,1.7526
21,1987,6.5143,6.4393,2.6683,2.6506,2.0682,2.5198
22,1987,6.1045,5.9714,3.8957,2.1961,2.6082,1.9682
23,1987,5.9737,6.1737,0.2296,1.8918,0.8365,2.4933
24,1988,5.8833,6.0778,3.3406,0.7754,2.0557,1.2467
25,1988,5.5053,5.5737,2.5314,2.0082,1.523,2.1685
26,1988,5.4176,5.6529,2.4552,1.7817,1.3799,2.5042
27,1988,5.4,5.56,2.3143,2.2053,2.4908,2.1443
28,1989,5.3471,5.625,1.576,2.3285,1.8335,1.4777
29,1989,5.2647,5.65,3.4425,1.9093,2.5905,3.0448
30,1989,5.3333,5.4867,2.5812,1.9768,0.7815,3.0089
31,1989,5.4118,5.5941,-0.2793,2.7447,1.4557,2.2862
32,1990,5.4286,5.5857,2.9701,2.5966,3.0417,4.2402
33,1990,5.3778,5.5222,2.3901,2.243,2.016,1.7666
34,1990,5.4769,5.85,1.9258,1.1515,1.4962,1.7495
35,1990,5.86,6.5233,-1.2253,-0.5211,0.5681,1.858
36,1991,6.372,6.692,-1.3346,0.3159,1.8357,2.3685
37,1991,6.8007,6.5469,1.0795,1.6859,2.3229,2.4167
38,1991,6.8767,6.4375,2.218,1.9502,2.4246,2.6694
39,1991,6.8436,6.5333,1.1865,2.1406,2.5386,2.584
40,1992,7.1,6.6629,1.3484,2.229,2.5848,2.6757
41,1992,7.1757,6.6314,1.846,2.5884,2.6075,2.6045
42,1992,7.5917,6.9583,2.3014,2.2149,2.4371,2.4816
43,1992,7.459,6.9436,2.3654,2.4226,2.1353,3.0243
44,1993,7.1455,6.6433,2.762,2.8627,3.1644,3.193
